Result,Move_ply_1,Move_ply_2,Move_ply_3,Move_ply_4,Move_ply_5,Move_ply_6,Move_ply_7,Move_ply_8,Move_ply_9,Move_ply_10,Move_ply_11,Move_ply_12,Move_ply_13,Move_ply_14,Move_ply_15,Move_ply_16,Move_ply_17,Move_ply_18,Move_ply_19,Move_ply_20,Move_ply_21,Move_ply_22,Move_ply_23,Move_ply_24,Move_ply_25,Move_ply_26,Move_ply_27,Move_ply_28,Move_ply_29,Move_ply_30,Move_ply_31,Move_ply_32,Move_ply_33,Move_ply_34,Move_ply_35,Move_ply_36,Move_ply_37,Move_ply_38,Move_ply_39,Move_ply_40,Move_ply_41,Move_ply_42,Move_ply_43,Move_ply_44,Move_ply_45,Move_ply_46,Move_ply_47,Move_ply_48,Move_ply_49,Move_ply_50,Move_ply_51,Move_ply_52,Move_ply_53,Move_ply_54,Move_ply_55,Move_ply_56,Move_ply_57,Move_ply_58,Move_ply_59,Move_ply_60,Move_ply_61,Move_ply_62,Move_ply_63,Move_ply_64,Move_ply_65,Move_ply_66,Move_ply_67,Move_ply_68,Move_ply_69,Move_ply_70,Move_ply_71,Move_ply_72,Move_ply_73,Move_ply_74,Move_ply_75,Move_ply_76,Move_ply_77,Move_ply_78,Move_ply_79,Move_ply_80,Move_ply_81,Move_ply_82,Move_ply_83,Move_ply_84,Move_ply_85,Move_ply_86,Move_ply_87,Move_ply_88,Move_ply_89,Move_ply_90,Move_ply_91,Move_ply_92,Move_ply_93,Move_ply_94,Move_ply_95,Move_ply_96,Move_ply_97,Move_ply_98,Move_ply_99,Move_ply_100,Move_ply_101,Move_ply_102,Move_ply_103,Move_ply_104,Move_ply_105,Move_ply_106,Move_ply_107,Move_ply_108,Move_ply_109,Move_ply_110,Move_ply_111,Move_ply_112,Move_ply_113,Move_ply_114,Move_ply_115,Move_ply_116,Move_ply_117,Move_ply_118,Move_ply_119,Move_ply_120,Move_ply_121,Move_ply_122,Move_ply_123,Move_ply_124,Move_ply_125,Move_ply_126,Move_ply_127,Move_ply_128,Move_ply_129,Move_ply_130,Move_ply_131,Move_ply_132,Move_ply_133,Move_ply_134,Move_ply_135,Move_ply_136,Move_ply_137,Move_ply_138,Move_ply_139,Move_ply_140,Move_ply_141,Move_ply_142,Move_ply_143,Move_ply_144,Move_ply_145,Move_ply_146,Move_ply_147,Move_ply_148,Move_ply_149,Move_ply_150,Move_ply_151,Move_ply_152,Move_ply_153,Move_ply_154,Move_ply_155,Move_ply_156,Move_ply_157,Move_ply_158,Move_ply_159,Move_ply_160,Move_ply_161,Move_ply_162,Move_ply_163,Move_ply_164,Move_ply_165,Move_ply_166,Move_ply_167,Move_ply_168,Move_ply_169,Move_ply_170,Move_ply_171,Move_ply_172,Move_ply_173,Move_ply_174,Move_ply_175,Move_ply_176,Move_ply_177,Move_ply_178,Move_ply_179,Move_ply_180,Move_ply_181,Move_ply_182,Move_ply_183,Move_ply_184,Move_ply_185,Move_ply_186,Move_ply_187,Move_ply_188,Move_ply_189,Move_ply_190,Move_ply_191,Move_ply_192,Move_ply_193,Move_ply_194,Move_ply_195,Move_ply_196,Move_ply_197,Move_ply_198,Move_ply_199,Move_ply_200
0-1,e4,c5,Bc4,e6,Nf3,a6,a4,Nc6,Nc3,Qc7,O-O,Nf6,d3,Be7,Be3,Ng4,h3,Nxe3,fxe3,O-O,d4,Rb8,dxc5,Bxc5,Re1,Ne5,Nxe5,Qxe5,Qe2,d6,b3,Bd7,Nd1,Qxa1,c3,Bxa4,bxa4,Qxa4,Nb2,Qc6,Qg4,b5,Bd3,Rfc8,Qh4,h6,e5,dxe5,Qe4,Qxe4,Bxe4,f5,Bd3,f4,Kh2,Bxe3,c4,bxc4,Nxc4,Rb3,Nxe5,Rc5,Bxa6,Rxe5,Bc4,Rb2,Rd1,Rg5,Rd8+,Kf7,Rd7+,Kf6,h4,Rgxg2+,Kh1,Rh2#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,e4,e5,Nf3,d6,d4,exd4,Nxd4,c6,Nc3,f6,h3,Qe7,Bd3,Be6,Nxe6,Qxe6,O-O,Nd7,f4,O-O-O,f5,Qe8,Bf4,Ne5,Bxe5,dxe5,Qe2,Bc5+,Kh1,Nh6,g3,Nf7,Kh2,Nd6,Na4,Bb4,c3,Ba5,b4,Bc7,Nc5,Nf7,Ne6,Rd7,a4,Nh6,a5,Re7,b5,Rxe6,fxe6,Qxe6,b6,Bb8,a6,Rd8,axb7+,Kxb7,Ba6+,Kxb6,Rfb1+,Kc5,Ra5+,Kd6,Rd1+,Ke7,Rxd8,Kxd8,Qd2+,Qd6,Qxd6+,Bxd6,Bb7,Kc7,Ba6,Kb6,Ra2,Nf7,Bc4,Ng5,Bd3,Ne6,Ra6+,Kb7,Ra1,Nc5,Bc2,Bc7,Rb1+,Bb6,c4,Ne6,Bd3,Kc7,h4,Nc5,Bc2,a5,Ra1,Na6,Bd1,c5,Kh3,Nb4,Kg4,Kd6,Kf5,Ke7,h5,h6,Kg6,Kf8,Ba4,Nd3,Rd1,Nf2,Rd7,Nxe4,Rf7+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,d4,d5,Nf3,Nc6,c3,Bf5,Nbd2,e6,Ne5,Nge7,e4,dxe4,g4,Nxe5,gxf5,N5c6,fxe6,fxe6,Nxe4,Qd5,Bg2,O-O-O,O-O,Qd7,Qf3,Nd5,Bg5,Re8,Bh4,h6,Bg3,g5,a4,Be7,a5,h5,a6,b6,h4,gxh4,Bh2,Rhg8,Kh1,Ref8,Qxh5,Rf5,Qe2,Rff8,b4,Nxc3,Nxc3,Nxd4,Qe4,Qc6,Qxc6,Nxc6,Bxc6,Bxb4,Nb5,Bd6,Nxd6+,cxd6,Bxd6,Rd8,Bb7+,Kd7,Rfd1,Ke8,Rd3,h3,Bc6+,Kf7,Rf3+,Kg6,Rg1+,Kh7,Be4+,Rg6,Be5,Rd1,Rxh3+,Kg8,Bxg6,Rxg1+,Kxg1,Kf8,Bf6,e5,Rh8#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,d4,d5,e3,c5,c3,c4,f4,Nf6,Nf3,Nc6,Be2,h6,O-O,e6,Ne5,Nxe5,fxe5,Nd7,Bh5,g6,Qf3,f5,Bxg6+,Ke7,b3,Bg7,Ba3+,Nc5,Bxc5+,Kd7,bxc4,b6,Bd6,Bf8,Bxf8,Rxf8,cxd5,Kc7,dxe6,Bxe6,Nd2,Bd5,Qh5,Rg8,Nf3,Qf6,exf6,Rgf8,f7,Be4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,e4,c5,Nf3,e6,Ne5,Nf6,Nc3,Be7,d3,d6,Nxf7,Kxf7,Qf3,Nc6,Bg5,Rf8,O-O-O,Kg8,Qg3,Nh5,Qg4,Bxg5+,Kb1,Nf4,g3,Ne5,Qxf4,Bxf4,gxf4,Rxf4,Bh3,Qh4,Bxe6+,Bxe6,Rhf1,Rxf2,Nb5,Rxf1,Rxf1,Qxh2,Nxd6,Nf3,Nxb7,Nd2+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,d4,e6,c4,c5,d5,exd5,cxd5,d6,Nf3,Nf6,Nc3,a6,Bg5,Bf5,e4,Bg6,e5,h6,exf6,hxg5,fxg7,Bxg7,h3,Nd7,Bd3,Qf6,O-O,g4,hxg4,Qf4,Bxg6,fxg6,Re1+,Ne5,Qa4+,Kd8,Qxf4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,e4,e5,Nf3,d6,Bc4,f6,O-O,Nh6,h3,c6,c3,b5,Bb3,a5,a4,Nd7,d4,Bb7,Bxh6,gxh6,d5,Qe7,dxc6,Bxc6,Bd5,Nb8,Bxc6+,Nxc6,Qd5,Qc7,axb5,Ne7,Qxa8+,Nc8,Qc6+,Qxc6,bxc6,Be7,Rxa5,O-O,Ra8,Bd8,Rxc8,h5,c7,Bxc7,Rxc7,h6,Rd7,Rb8,b4,Rc8,Rxd6,Rc4,Nfd2,h4,Rxf6,Rc8,Rxh6,Rf8,f3,Ra8,Re1,Ra1,Re3,Kg7,Rxh4,Kg6,Rh8,Kg5,Kf2,Kf4,Rd3,Rxb1,Nxb1,Kg5,Rdd8,Kf4,Rdf8+,Kg5,Rhg8+,Kh4,Rh8+,Kg5,Nd2,Kg6,Ra8,Kg7,Rh5,Kg6,Rxe5,Kg7,Ra6,Kg8,Rb5,Kg7,Rb7+,Kf8,Ra8#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,e4,b6,Qf3,Bb7,Bc4,Nf6,Nh3,Bxe4,Qf4,Bxg2,Rg1,Bxh3,Bd5,e6,Bxa8,Na6,Bg2,Bxg2,Rxg2,g6,Nc3,Nb4,Rb1,Nxc2+,Kf1,Bg7,Nb5,Nd5,Qf3,Nd4,Nxd4,Bxd4,Qd3,Qf6,Rg4,Qxf2#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,e4,e5,Nf3,Nc6,Bb5,a6,Ba4,b5,Bb3,Nf6,O-O,Bd6,Re1,O-O,c3,Bb7,d4,Na5,Bc2,Nc4,b3,Nb6,dxe5,Nxe4,exd6,Re8,dxc7,Qxc7,Bb2,Nf6,c4,Bxf3,Rxe8+,Rxe8,gxf3,bxc4,Bxf6,gxf6,Qd4,Re1+,Kg2,Qe5,Qg4+,Kf8,Bxh7,Qxa1,Qg8+,Ke7,Qb8,Qxb1,Qxb6,Qxh7,Qc5+,d6,Qc7+,Kf8,Qd8+,Kg7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,g3,e5,Bg2,Nf6,d4,exd4,Qxd4,Nc6,Qd1,Bc5,Bf4,d6,f3,Bf5,a3,O-O,e4,Be6,Qd2,Nd4,Nc3,Bc4,O-O-O,b5,h4,a5,b3,Be6,b4,axb4,axb4,Bxb4,Qxd4,Bc5,Qd2,Ra1+,Nb1,Ba2,Qc3,Rxb1+,Kd2,Bb4,Qxb4,Rxb4,Ra1,Be6,c3,Rb2+,Kc1,Rxg2,e5,dxe5,Bxe5,Qd2+,Kb1,Qb2#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,e4,b6,d4,Bb7,d5,e6,c4,exd5,cxd5,c6,d6,Nf6,e5,Nd5,Nf3,g6,Bg5,Qc8,Bc4,h6,Bf6,Nxf6,exf6,Qd8,Qe2+,Be7,fxe7,Qc8,Qe5,Rh7,Qf6,Ba6,Bxf7+,Rxf7,Qh8+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,d4,d5,Bf4,g6,e3,Bg7,c3,Nf6,Nd2,c5,b3,Nc6,Ngf3,O-O,Bd3,Nd7,O-O,e5,Bg3,e4,Nxe4,dxe4,Bxe4,cxd4,exd4,Re8,Re1,Nf6,Qc2,Nxe4,Rxe4,Bf5,Rxe8+,Qxe8,Qd2,Qd7,Re1,Re8,d5,Rxe1+,Nxe1,Ne5,c4,f6,d6,Bf8,c5,b6,b4,Be4,a3,bxc5,bxc5,Qc6,Qa5,Nd7,f3,Bd5,Nd3,Bh6,Qd8+,Kf7,Qe7+,Kg8,Qe8+,Bf8,Qe3,Qb7,h3,Qb1+,Kh2,Qb5,Bh4,g5,Bf2,Bh6,Qe8+,Bf8,Qe3,Kf7,h4,h6,hxg5,hxg5,Qd4,Be6,f4,gxf4,Nxf4,Nxc5,Qxc5,Qxc5,Bxc5,Bd7,Kg3,f5,Kf3,Kf6,g3,Ke5,Ng6+,Ke6,Nxf8+,Kd5,Bb4,Bc6,Kf4,Kc4,Kxf5,Kb3,g4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-0,d4,d5,c4,c6,Nc3,Bf5,Nf3,Nf6,Bf4,e6,e3,c5,cxd5,exd5,Bb5+,Nbd7,Bg5,Be7,Bxf6,Bxf6,Nxd5,O-O,Nxf6+,Nxf6,O-O,cxd4,Nxd4,Bg6,Bd3,Ne4,f3,Nf6,Bxg6,fxg6,Qb3+,Rf7,Rfd1,Qe7,e4,a6,Rac1,b5,Qe6,Qa7,Qd5,Re8,Qd6,Rd7,Qxd7,Nxd7,Kh1,Nf6,Nc6,Qb7,Rd8,Kf7,Rxe8,Nxe8,Nd8+,Kf8,Nxb7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-1,e4,c5,Nf3,e6,c3,Nf6,Bd3,a6,Bc2,b5,O-O,Bb7,Re1,Nc6,d4,cxd4,Nxd4,e5,Nf5,g6,Nd6+,Bxd6,Qxd6,Qe7,Qd1,O-O-O,Bg5,h6,Be3,d5,Qf3,dxe4,Bxe4,Nxe4,Qxe4,Nd4,Qg4+,f5,Qh3,Nc2,Na3,Nxa1,Rxa1,g5,Qh5,f4,Bb6,Rd2,Re1,Qd6,h4,Qxb6,Qg4+,Kb8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
